index,locationabbr,state_code,State_County_Code,POVERTY_RATE,YEAR
742,IN,18,18091,16.2,2010
743,IN,18,18093,15.2,2010
744,IN,18,18095,18.0,2010
745,IN,18,18097,20.8,2010
746,IN,18,18099,12.7,2010
747,IN,18,18101,13.2,2010
748,IN,18,18103,17.0,2010
749,IN,18,18105,24.3,2010
750,IN,18,18107,15.3,2010
751,IN,18,18109,11.9,2010
752,IN,18,18111,11.1,2010
753,IN,18,18113,12.6,2010
754,IN,18,18115,10.0,2010
755,IN,18,18117,17.5,2010
756,IN,18,18119,14.1,2010
757,IN,18,18121,16.6,2010
758,IN,18,18123,13.0,2010
759,IN,18,18125,14.7,2010
760,IN,18,18127,10.9,2010
761,IN,18,18129,9.8,2010
762,IN,18,18131,14.2,2010
763,IN,18,18133,13.9,2010
764,IN,18,18135,16.0,2010
765,IN,18,18137,10.7,2010
766,IN,18,18139,13.2,2010
767,IN,18,18141,15.9,2010
768,IN,18,18143,18.8,2010
769,IN,18,18145,12.8,2010
770,IN,18,18147,11.3,2010
771,IN,18,18149,18.2,2010
772,IN,18,18151,12.8,2010
773,IN,18,18153,14.7,2010
774,IN,18,18155,16.3,2010
775,IN,18,18157,20.9,2010
776,IN,18,18159,8.5,2010
777,IN,18,18161,12.6,2010
778,IN,18,18163,16.9,2010
779,IN,18,18165,13.6,2010
780,IN,18,18167,19.1,2010
781,IN,18,18169,12.2,2010
782,IN,18,18171,9.8,2010
783,IN,18,18173,7.3,2010
784,IN,18,18175,15.9,2010
785,IN,18,18177,20.3,2010
786,IN,18,18179,9.6,2010
787,IN,18,18181,12.2,2010
788,IN,18,18183,9.3,2010
789,IA,19,19001,9.7,2010
790,IA,19,19003,14.1,2010
791,IA,19,19005,13.3,2010
792,IA,19,19007,15.7,2010
793,IA,19,19009,10.0,2010
794,IA,19,19011,8.3,2010
795,IA,19,19013,18.0,2010
796,IA,19,19015,9.4,2010
797,IA,19,19017,7.6,2010
798,IA,19,19019,11.0,2010
799,IA,19,19021,13.0,2010
800,IA,19,19023,9.5,2010
801,IA,19,19025,12.0,2010
802,IA,19,19027,9.1,2010
803,IA,19,19029,13.7,2010
804,IA,19,19031,7.3,2010
805,IA,19,19033,13.0,2010
806,IA,19,19035,9.6,2010
807,IA,19,19037,10.6,2010
808,IA,19,19039,12.4,2010
809,IA,19,19041,11.3,2010
